transaction_id,date,year,month,quarter,customer_id,vehicle_platform,build_category,region,gear_category,brand,units_sold,unit_price,total_revenue,customer_age_bracket,purchase_channel,event_influence
TXN-003093,2022-01-09,2022,1,Q1,CUST-00405,Ford Bronco,mid,Rocky_Mountain,power,Victron,2,1147.15,2294.3,36-45,dealer,None
TXN-000321,2022-01-10,2022,1,Q1,CUST-00528,Toyota Tacoma,mid,Rocky_Mountain,navigation,Garmin,1,335.99,335.99,26-35,online,None
TXN-000260,2022-01-10,2022,1,Q1,CUST-00880,Ford Bronco,mid,Pacific_Northwest,water_systems,National Luna,1,417.25,417.25,26-35,online,None
TXN-002739,2022-01-10,2022,1,Q1,CUST-00160,Jeep Gladiator,mid,Pacific_Northwest,navigation,Garmin,2,246.89,493.78,26-35,dealer,None
TXN-000878,2022-01-11,2022,1,Q1,CUST-00454,RAM 2500,expedition,Pacific_Northwest,recovery,Smittybilt,1,1278.8,1278.8,55+,online,None
TXN-000732,2022-01-11,2022,1,Q1,CUST-00236,Ford F-150 Raptor,baja_prerunner,Texas_Mexico_Border,suspension,Old Man Emu,1,7605.7,7605.7,26-35,dealer,None
TXN-000865,2022-01-11,2022,1,Q1,CUST-00950,Toyota Tacoma,mid,Pacific_Northwest,wheels_tires,Falken,4,2397.56,9590.24,55+,online,None
TXN-002988,2022-01-12,2022,1,Q1,CUST-00789,Toyota 4Runner,expedition,Southwest,suspension,Icon,2,2264.61,4529.22,36-45,online,None
TXN-000907,2022-01-12,2022,1,Q1,CUST-00428,RAM 2500,expedition,Pacific_Northwest,power,Jackery,4,2871.03,11484.12,18-25,event,None
TXN-001338,2022-01-13,2022,1,Q1,CUST-01174,Ford Bronco,mid,Texas_Mexico_Border,lighting,Baja Designs,1,744.14,744.14,36-45,in_store,None
TXN-002505,2022-01-13,2022,1,Q1,CUST-00710,Jeep Gladiator,mid,Southeast,water_systems,Dometic,2,363.3,726.6,46-55,online,None
TXN-003211,2022-01-14,2022,1,Q1,CUST-01190,Jeep Wrangler,entry,Texas_Mexico_Border,shelter,Cascadia Vehicle Tents,1,348.54,348.54,26-35,online,None
TXN-002387,2022-01-15,2022,1,Q1,CUST-00248,Jeep Wrangler,entry,Rocky_Mountain,communication,OnX,1,110.44,110.44,26-35,event,None
TXN-000292,2022-01-16,2022,1,Q1,CUST-00892,Jeep Wrangler,entry,Southwest,protection,ARB,1,614.37,614.37,55+,event,None
TXN-001802,2022-01-16,2022,1,Q1,CUST-00998,Toyota 4Runner,expedition,Texas_Mexico_Border,lighting,Baja Designs,2,632.81,1265.62,36-45,online,None
TXN-003497,2022-01-17,2022,1,Q1,CUST-00176,Land Rover Defender,expedition,Rocky_Mountain,water_systems,National Luna,1,945.96,945.96,26-35,event,None
TXN-001485,2022-01-17,2022,1,Q1,CUST-00531,RAM 2500,expedition,Rocky_Mountain,communication,Iridium,1,1071.49,1071.49,55+,in_store,None
TXN-000214,2022-01-17,2022,1,Q1,CUST-00401,Jeep Gladiator,mid,Rocky_Mountain,water_systems,National Luna,1,357.09,357.09,36-45,event,None
TXN-002343,2022-01-17,2022,1,Q1,CUST-00095,Jeep Gladiator,mid,Texas_Mexico_Border,protection,Frontrunner,2,1320.72,2641.44,46-55,online,None
TXN-003311,2022-01-17,2022,1,Q1,CUST-00693,Ford Bronco,mid,Southwest,wheels_tires,Nitto,4,2829.06,11316.24,36-45,online,None
TXN-001360,2022-01-17,2022,1,Q1,CUST-00761,Jeep Gladiator,mid,Southeast,navigation,Garmin,2,274.15,548.3,36-45,in_store,None
TXN-000022,2022-01-17,2022,1,Q1,CUST-00432,Toyota Tacoma,mid,Southeast,recovery,Smittybilt,1,364.22,364.22,36-45,in_store,None
TXN-002979,2022-01-18,2022,1,Q1,CUST-00030,Jeep Wrangler,entry,Texas_Mexico_Border,suspension,Bilstein,1,830.76,830.76,26-35,in_store,None
TXN-001966,2022-01-18,2022,1,Q1,CUST-01080,Jeep Gladiator,mid,Texas_Mexico_Border,protection,Addictive Desert Designs,1,602.1,602.1,26-35,online,None
TXN-002528,2022-01-19,2022,1,Q1,CUST-00909,Jeep Gladiator,mid,Rocky_Mountain,wheels_tires,Method Race Wheels,4,2564.58,10258.32,26-35,in_store,None
TXN-001913,2022-01-20,2022,1,Q1,CUST-00345,Jeep Wrangler,entry,Pacific_Northwest,power,Redarc,3,183.15,549.45,36-45,event,None
TXN-000683,2022-01-22,2022,1,Q1,CUST-01195,Jeep Gladiator,mid,Rocky_Mountain,recovery,Smittybilt,4,622.43,2489.72,55+,event,None
TXN-001041,2022-01-22,2022,1,Q1,CUST-00086,RAM 2500,expedition,Southeast,power,Jackery,1,2472.0,2472.0,55+,online,None
TXN-002047,2022-01-22,2022,1,Q1,CUST-00373,RAM 2500,expedition,Southeast,navigation,Gaia GPS,2,409.13,818.26,36-45,event,None
TXN-001567,2022-01-23,2022,1,Q1,CUST-00903,RAM 1500 TRX,baja_prerunner,Southwest,wheels_tires,KMC,1,4957.64,4957.64,36-45,dealer,None
TXN-002027,2022-01-24,2022,1,Q1,CUST-00990,RAM 2500,expedition,Texas_Mexico_Border,shelter,ARB,3,1329.39,3988.17,36-45,dealer,None
TXN-000364,2022-01-24,2022,1,Q1,CUST-00805,Toyota 4Runner,expedition,Pacific_Northwest,power,Victron,2,1682.45,3364.9,46-55,in_store,None
TXN-000273,2022-01-24,2022,1,Q1,CUST-01039,Toyota Land Cruiser,expedition,Texas_Mexico_Border,recovery,Warn,2,916.82,1833.64,36-45,in_store,None
TXN-001762,2022-01-24,2022,1,Q1,CUST-00943,Toyota Tacoma,mid,Texas_Mexico_Border,lighting,Baja Designs,2,621.51,1243.02,36-45,in_store,None
TXN-001518,2022-01-25,2022,1,Q1,CUST-00513,Jeep Wrangler,entry,Southwest,shelter,ARB,1,567.89,567.89,36-45,online,None
TXN-002109,2022-01-25,2022,1,Q1,CUST-00261,RAM 2500,expedition,Rocky_Mountain,protection,ARB,2,3403.11,6806.22,46-55,in_store,None
TXN-001821,2022-01-25,2022,1,Q1,CUST-00311,Jeep Wrangler,entry,Pacific_Northwest,recovery,Factor 55,1,101.3,101.3,18-25,in_store,None
TXN-003125,2022-01-26,2022,1,Q1,CUST-00856,Jeep Gladiator,mid,Rocky_Mountain,recovery,Factor 55,2,870.56,1741.12,46-55,in_store,None
TXN-001649,2022-01-26,2022,1,Q1,CUST-00485,Custom Trophy Truck,baja_prerunner,Texas_Mexico_Border,protection,Addictive Desert Designs,1,6255.76,6255.76,26-35,in_store,None
TXN-003422,2022-01-27,2022,1,Q1,CUST-00161,Toyota Land Cruiser,expedition,Texas_Mexico_Border,navigation,Gaia GPS,1,562.13,562.13,36-45,dealer,None
TXN-001330,2022-01-27,2022,1,Q1,CUST-00495,Toyota 4Runner,expedition,Southwest,lighting,Diode Dynamics,2,925.25,1850.5,18-25,online,None
TXN-000475,2022-01-27,2022,1,Q1,CUST-00386,Toyota Land Cruiser,expedition,Texas_Mexico_Border,protection,Addictive Desert Designs,3,1489.09,4467.27,26-35,online,None
TXN-001916,2022-01-27,2022,1,Q1,CUST-00399,Toyota Land Cruiser,expedition,Pacific_Northwest,power,Jackery,2,2678.14,5356.28,26-35,in_store,None
TXN-002914,2022-01-28,2022,1,Q1,CUST-00434,Toyota Tacoma,mid,Pacific_Northwest,recovery,Viair,1,484.11,484.11,46-55,in_store,None
TXN-001491,2022-01-29,2022,1,Q1,CUST-00859,Toyota 4Runner,expedition,Rocky_Mountain,water_systems,ARB,2,401.45,802.9,55+,in_store,None
TXN-003478,2022-01-30,2022,1,Q1,CUST-00069,Toyota Tacoma,mid,Rocky_Mountain,navigation,Garmin,1,537.8,537.8,36-45,online,None
TXN-001107,2022-01-30,2022,1,Q1,CUST-00599,Jeep Wrangler,entry,Pacific_Northwest,wheels_tires,Method Race Wheels,1,1437.97,1437.97,46-55,in_store,None
TXN-003048,2022-01-30,2022,1,Q1,CUST-00345,Ford Bronco,mid,Southeast,power,Redarc,2,430.79,861.58,18-25,online,None
TXN-003097,2022-01-31,2022,1,Q1,CUST-01149,Land Rover Defender,expedition,Texas_Mexico_Border,communication,OnX,1,748.68,748.68,36-45,online,None
TXN-001295,2022-01-31,2022,1,Q1,CUST-01144,Toyota 4Runner,expedition,Texas_Mexico_Border,lighting,Diode Dynamics,1,817.34,817.34,18-25,in_store,None
TXN-002529,2022-02-01,2022,2,Q1,CUST-00560,Toyota 4Runner,expedition,Rocky_Mountain,shelter,Cascadia Vehicle Tents,1,2553.73,2553.73,36-45,in_store,None
TXN-003493,2022-02-01,2022,2,Q1,CUST-00057,Chevy Colorado ZR2 Baja,baja_prerunner,Southwest,shelter,iKamper,1,1222.17,1222.17,46-55,online,None
TXN-003228,2022-02-01,2022,2,Q1,CUST-01029,Toyota Tacoma,mid,Southeast,water_systems,Sawyer,1,493.23,493.23,46-55,event,None
TXN-002358,2022-02-01,2022,2,Q1,CUST-00945,Jeep Gladiator,mid,Pacific_Northwest,power,Jackery,2,1093.81,2187.62,36-45,online,None
TXN-002674,2022-02-02,2022,2,Q1,CUST-00649,Toyota Tacoma,mid,Pacific_Northwest,suspension,Icon,2,1828.92,3657.84,46-55,online,None
TXN-000156,2022-02-02,2022,2,Q1,CUST-00116,Ford F-150 Raptor,baja_prerunner,Texas_Mexico_Border,suspension,King,2,6620.39,13240.78,26-35,in_store,None
TXN-000436,2022-02-03,2022,2,Q1,CUST-01099,Toyota 4Runner,expedition,Southwest,protection,ARB,1,2961.55,2961.55,36-45,dealer,None
TXN-003069,2022-02-03,2022,2,Q1,CUST-00083,Jeep Gladiator,mid,Rocky_Mountain,communication,OnX,3,475.11,1425.33,36-45,online,None
TXN-001771,2022-02-03,2022,2,Q1,CUST-01093,Toyota 4Runner,expedition,Texas_Mexico_Border,recovery,Factor 55,2,1351.77,2703.54,26-35,in_store,None
TXN-000360,2022-02-03,2022,2,Q1,CUST-00566,Jeep Gladiator,mid,Southeast,suspension,Icon,4,1165.2,4660.8,36-45,event,None
TXN-001130,2022-02-03,2022,2,Q1,CUST-01124,Jeep Wrangler,entry,Southwest,protection,ARB,1,406.18,406.18,55+,in_store,None
TXN-002268,2022-02-04,2022,2,Q1,CUST-00983,Toyota Tundra TRD Pro,baja_prerunner,Southwest,navigation,Gaia GPS,1,929.01,929.01,26-35,online,None
TXN-002121,2022-02-04,2022,2,Q1,CUST-00813,Toyota Land Cruiser,expedition,Texas_Mexico_Border,power,Jackery,3,2697.62,8092.86,36-45,online,None
TXN-003052,2022-02-07,2022,2,Q1,CUST-00589,Toyota Land Cruiser,expedition,Southeast,communication,OnX,1,387.21,387.21,46-55,dealer,None
TXN-003169,2022-02-08,2022,2,Q1,CUST-00037,Ford Bronco,mid,Southwest,power,Goal Zero,1,1093.95,1093.95,26-35,in_store,None
TXN-001553,2022-02-08,2022,2,Q1,CUST-00209,Land Rover Defender,expedition,Texas_Mexico_Border,shelter,ARB,2,2511.98,5023.96,18-25,in_store,None
TXN-000397,2022-02-08,2022,2,Q1,CUST-00340,Land Rover Defender,expedition,Texas_Mexico_Border,lighting,Baja Designs,1,434.29,434.29,55+,online,None
TXN-002157,2022-02-08,2022,2,Q1,CUST-00679,RAM 2500,expedition,Pacific_Northwest,shelter,Cascadia Vehicle Tents,1,1285.76,1285.76,36-45,in_store,None
TXN-001248,2022-02-08,2022,2,Q1,CUST-00916,Chevy Colorado ZR2 Baja,baja_prerunner,Southwest,shelter,Front Runner,1,842.39,842.39,18-25,in_store,None
TXN-000916,2022-02-08,2022,2,Q1,CUST-01177,Jeep Gladiator,mid,Southwest,communication,OnX,2,264.32,528.64,36-45,online,None
TXN-001402,2022-02-08,2022,2,Q1,CUST-01107,Toyota Land Cruiser,expedition,Rocky_Mountain,water_systems,LifeStraw,1,923.83,923.83,46-55,online,None
TXN-000263,2022-02-09,2022,2,Q1,CUST-00769,Jeep Wrangler,entry,Texas_Mexico_Border,suspension,Old Man Emu,1,498.53,498.53,46-55,event,None
TXN-002060,2022-02-09,2022,2,Q1,CUST-00302,Toyota 4Runner,expedition,Rocky_Mountain,recovery,Factor 55,1,940.02,940.02,18-25,dealer,None
TXN-002078,2022-02-10,2022,2,Q1,CUST-00416,Ford Bronco,mid,Texas_Mexico_Border,shelter,ARB,2,930.79,1861.58,36-45,in_store,None
TXN-003024,2022-02-11,2022,2,Q1,CUST-00509,Toyota 4Runner,expedition,Rocky_Mountain,wheels_tires,Method Race Wheels,4,2538.6,10154.4,46-55,in_store,None
TXN-002879,2022-02-11,2022,2,Q1,CUST-01004,Ford Bronco,mid,Southeast,navigation,OnX Offroad,2,248.02,496.04,36-45,in_store,None
TXN-000535,2022-02-12,2022,2,Q1,CUST-00960,Toyota Tundra TRD Pro,baja_prerunner,Texas_Mexico_Border,navigation,OnX Offroad,1,779.48,779.48,55+,dealer,None
TXN-000459,2022-02-13,2022,2,Q1,CUST-00669,Toyota 4Runner,expedition,Rocky_Mountain,communication,OnX,2,670.52,1341.04,36-45,online,None
TXN-001134,2022-02-13,2022,2,Q1,CUST-00944,Ford Bronco,mid,Rocky_Mountain,communication,Garmin,2,218.55,437.1,26-35,in_store,None
TXN-000689,2022-02-13,2022,2,Q1,CUST-00588,RAM 2500,expedition,Southwest,recovery,Warn,3,531.2,1593.6,36-45,in_store,None
TXN-002291,2022-02-13,2022,2,Q1,CUST-00891,Jeep Wrangler,entry,Pacific_Northwest,wheels_tires,Falken,4,1074.96,4299.84,36-45,event,None
TXN-001267,2022-02-14,2022,2,Q1,CUST-00396,Jeep Gladiator,mid,Texas_Mexico_Border,wheels_tires,KMC,1,2232.56,2232.56,36-45,online,None
TXN-002685,2022-02-14,2022,2,Q1,CUST-00142,Land Rover Defender,expedition,Rocky_Mountain,recovery,Warn,1,819.89,819.89,26-35,online,None
TXN-002258,2022-02-16,2022,2,Q1,CUST-00801,Land Rover Defender,expedition,Texas_Mexico_Border,protection,ARB,4,1229.84,4919.36,55+,online,None
TXN-002983,2022-02-16,2022,2,Q1,CUST-00849,Land Rover Defender,expedition,Texas_Mexico_Border,suspension,Old Man Emu,1,3313.47,3313.47,46-55,dealer,None
TXN-001492,2022-02-17,2022,2,Q1,CUST-00477,Land Rover Defender,expedition,Texas_Mexico_Border,shelter,iKamper,4,3786.72,15146.88,18-25,event,None
TXN-001304,2022-02-17,2022,2,Q1,CUST-01070,Toyota 4Runner,expedition,Southeast,lighting,Baja Designs,1,1171.7,1171.7,55+,online,None
TXN-002190,2022-02-17,2022,2,Q1,CUST-00354,Toyota 4Runner,expedition,Pacific_Northwest,protection,Fab Fours,1,3163.91,3163.91,55+,online,None
TXN-002722,2022-02-18,2022,2,Q1,CUST-00656,Jeep Gladiator,mid,Texas_Mexico_Border,water_systems,Dometic,1,448.36,448.36,46-55,event,None
TXN-000986,2022-02-18,2022,2,Q1,CUST-00649,Jeep Gladiator,mid,Texas_Mexico_Border,water_systems,National Luna,2,351.27,702.54,46-55,in_store,None
TXN-000993,2022-02-18,2022,2,Q1,CUST-00559,Ford Bronco,mid,Pacific_Northwest,suspension,King,2,1247.29,2494.58,55+,online,None
TXN-002800,2022-02-18,2022,2,Q1,CUST-00898,Toyota Tacoma,mid,Rocky_Mountain,wheels_tires,Nitto,2,1270.99,2541.98,46-55,event,None
TXN-000781,2022-02-19,2022,2,Q1,CUST-01082,Toyota 4Runner,expedition,Southwest,power,Redarc,2,3134.13,6268.26,36-45,online,None
TXN-001230,2022-02-19,2022,2,Q1,CUST-00170,Jeep Wrangler,entry,Southwest,suspension,Old Man Emu,2,1129.32,2258.64,36-45,dealer,None
TXN-002887,2022-02-19,2022,2,Q1,CUST-00219,Jeep Wrangler,entry,Rocky_Mountain,suspension,Bilstein,2,758.75,1517.5,18-25,in_store,None
TXN-002354,2022-02-21,2022,2,Q1,CUST-00967,Jeep Wrangler,entry,Rocky_Mountain,shelter,Front Runner,1,632.41,632.41,36-45,online,None
TXN-002978,2022-02-22,2022,2,Q1,CUST-00956,Jeep Wrangler,entry,Southeast,lighting,Baja Designs,1,92.56,92.56,36-45,online,None
TXN-000817,2022-02-22,2022,2,Q1,CUST-00246,RAM 2500,expedition,Rocky_Mountain,wheels_tires,Falken,1,3815.4,3815.4,55+,event,None
TXN-001254,2022-02-23,2022,2,Q1,CUST-00532,Ford Bronco,mid,Texas_Mexico_Border,lighting,Rigid Industries,1,704.62,704.62,46-55,online,None
TXN-003358,2022-02-23,2022,2,Q1,CUST-00080,Land Rover Defender,expedition,Southwest,protection,Fab Fours,1,1969.72,1969.72,36-45,online,None
TXN-001712,2022-02-24,2022,2,Q1,CUST-00986,RAM 2500,expedition,Pacific_Northwest,protection,Frontrunner,1,1355.27,1355.27,36-45,in_store,None
TXN-002871,2022-02-24,2022,2,Q1,CUST-00840,RAM 2500,expedition,Southeast,recovery,Factor 55,1,962.02,962.02,36-45,online,None
TXN-000204,2022-02-24,2022,2,Q1,CUST-00791,Jeep Wrangler,entry,Rocky_Mountain,protection,Addictive Desert Designs,2,591.9,1183.8,46-55,in_store,None
TXN-002119,2022-02-25,2022,2,Q1,CUST-00008,Toyota Land Cruiser,expedition,Texas_Mexico_Border,shelter,Front Runner,2,2825.75,5651.5,55+,online,None
TXN-001043,2022-02-25,2022,2,Q1,CUST-00193,Toyota Land Cruiser,expedition,Pacific_Northwest,lighting,Diode Dynamics,1,501.25,501.25,26-35,event,None
TXN-001554,2022-02-25,2022,2,Q1,CUST-00471,Toyota Land Cruiser,expedition,Pacific_Northwest,lighting,KC HiLiTES,1,689.93,689.93,46-55,online,None
TXN-000962,2022-02-26,2022,2,Q1,CUST-00199,Toyota Tacoma,mid,Southeast,recovery,ARB,2,598.92,1197.84,36-45,dealer,None
TXN-002056,2022-02-26,2022,2,Q1,CUST-00191,Ford Bronco,mid,Texas_Mexico_Border,recovery,Warn,1,345.1,345.1,36-45,dealer,None
TXN-002158,2022-02-26,2022,2,Q1,CUST-00008,Toyota Land Cruiser,expedition,Southwest,protection,Addictive Desert Designs,1,3836.11,3836.11,46-55,in_store,None
TXN-003107,2022-02-27,2022,2,Q1,CUST-00368,Land Rover Defender,expedition,Pacific_Northwest,suspension,Bilstein,3,2654.49,7963.47,26-35,online,None
TXN-002274,2022-02-28,2022,2,Q1,CUST-00771,Ford F-150 Raptor,baja_prerunner,Southwest,protection,Metalmil,1,6652.62,6652.62,55+,dealer,None
TXN-000068,2022-03-01,2022,3,Q1,CUST-00162,Toyota Tundra TRD Pro,baja_prerunner,Southwest,recovery,ARB,1,1762.08,1762.08,46-55,in_store,None
TXN-001348,2022-03-01,2022,3,Q1,CUST-00243,Jeep Gladiator,mid,Rocky_Mountain,lighting,Diode Dynamics,1,290.5,290.5,26-35,dealer,None
TXN-002716,2022-03-03,2022,3,Q1,CUST-00151,RAM 2500,expedition,Texas_Mexico_Border,communication,Iridium,2,1144.66,2289.32,36-45,in_store,None
TXN-003295,2022-03-03,2022,3,Q1,CUST-00200,Land Rover Defender,expedition,Southwest,suspension,Bilstein,2,3932.15,7864.3,36-45,dealer,None
TXN-001143,2022-03-03,2022,3,Q1,CUST-00170,Toyota 4Runner,expedition,Southwest,suspension,Fox,1,3772.68,3772.68,46-55,online,None
TXN-000924,2022-03-03,2022,3,Q1,CUST-00964,RAM 2500,expedition,Pacific_Northwest,power,Battle Born,2,876.89,1753.78,18-25,in_store,None
TXN-000090,2022-03-04,2022,3,Q1,CUST-00108,Chevy Colorado ZR2 Baja,baja_prerunner,Southwest,recovery,Smittybilt,1,1351.45,1351.45,55+,online,None
TXN-001173,2022-03-04,2022,3,Q1,CUST-00741,Jeep Wrangler,entry,Pacific_Northwest,shelter,Cascadia Vehicle Tents,3,734.64,2203.92,36-45,in_store,None
TXN-002725,2022-03-04,2022,3,Q1,CUST-00898,Land Rover Defender,expedition,Pacific_Northwest,communication,Iridium,1,777.95,777.95,36-45,dealer,None
TXN-001200,2022-03-04,2022,3,Q1,CUST-00808,Ford Bronco,mid,Southwest,power,Battle Born,1,546.04,546.04,36-45,online,None
TXN-002831,2022-03-04,2022,3,Q1,CUST-00103,Custom Trophy Truck,baja_prerunner,Texas_Mexico_Border,navigation,TomTom,2,823.89,1647.78,55+,dealer,None
TXN-003026,2022-03-04,2022,3,Q1,CUST-00118,Land Rover Defender,expedition,Southwest,protection,Fab Fours,3,3863.18,11589.54,26-35,in_store,None
TXN-003253,2022-03-04,2022,3,Q1,CUST-00271,Jeep Gladiator,mid,Rocky_Mountain,shelter,iKamper,2,1952.13,3904.26,46-55,in_store,None
TXN-002014,2022-03-05,2022,3,Q1,CUST-00886,Toyota 4Runner,expedition,Southwest,protection,Fab Fours,2,2938.62,5877.24,36-45,online,None
TXN-003161,2022-03-05,2022,3,Q1,CUST-00820,Toyota 4Runner,expedition,Southeast,wheels_tires,Method Race Wheels,1,4978.21,4978.21,55+,in_store,None
TXN-001040,2022-03-05,2022,3,Q1,CUST-00826,Ford Bronco,mid,Rocky_Mountain,lighting,Rigid Industries,1,770.61,770.61,36-45,online,None
TXN-002580,2022-03-06,2022,3,Q1,CUST-00782,Toyota Tacoma,mid,Southwest,wheels_tires,BFGoodrich,4,1567.42,6269.68,36-45,online,None
TXN-001328,2022-03-06,2022,3,Q1,CUST-00690,Jeep Gladiator,mid,Texas_Mexico_Border,lighting,Rigid Industries,1,576.12,576.12,55+,dealer,None
TXN-000153,2022-03-06,2022,3,Q1,CUST-00770,Ford Bronco,mid,Rocky_Mountain,protection,Addictive Desert Designs,4,997.22,3988.88,46-55,dealer,None
TXN-001899,2022-03-06,2022,3,Q1,CUST-00019,Toyota Tacoma,mid,Southeast,protection,Frontrunner,1,1513.66,1513.66,36-45,online,None
TXN-001099,2022-03-06,2022,3,Q1,CUST-00865,Toyota Land Cruiser,expedition,Rocky_Mountain,wheels_tires,Nitto,4,5450.3,21801.2,36-45,event,None
TXN-002690,2022-03-06,2022,3,Q1,CUST-00853,RAM 2500,expedition,Southeast,wheels_tires,Nitto,2,3830.74,7661.48,36-45,in_store,None
TXN-001621,2022-03-06,2022,3,Q1,CUST-00357,Toyota Tacoma,mid,Southeast,wheels_tires,KMC,2,2057.38,4114.76,36-45,online,None
TXN-000345,2022-03-06,2022,3,Q1,CUST-00513,Ford Bronco,mid,Rocky_Mountain,suspension,Icon,2,921.35,1842.7,36-45,in_store,None
TXN-003189,2022-03-06,2022,3,Q1,CUST-00913,Toyota Land Cruiser,expedition,Southwest,water_systems,ARB,1,794.43,794.43,36-45,online,None
TXN-001334,2022-03-07,2022,3,Q1,CUST-00848,RAM 2500,expedition,Southeast,suspension,Icon,1,3411.62,3411.62,55+,online,None
TXN-003170,2022-03-07,2022,3,Q1,CUST-00794,Toyota Tacoma,mid,Texas_Mexico_Border,water_systems,Dometic,1,452.95,452.95,46-55,online,None
TXN-003286,2022-03-08,2022,3,Q1,CUST-00890,Toyota Land Cruiser,expedition,Southwest,power,Battle Born,1,1737.49,1737.49,46-55,event,None
TXN-000078,2022-03-09,2022,3,Q1,CUST-00735,Toyota Land Cruiser,expedition,Rocky_Mountain,communication,Uniden,1,917.11,917.11,36-45,dealer,None
TXN-002031,2022-03-09,2022,3,Q1,CUST-00923,Toyota Land Cruiser,expedition,Southeast,suspension,King,1,2508.88,2508.88,46-55,in_store,None
TXN-000250,2022-03-09,2022,3,Q1,CUST-00063,Land Rover Defender,expedition,Pacific_Northwest,communication,Uniden,1,717.8,717.8,36-45,dealer,None
TXN-002985,2022-03-10,2022,3,Q1,CUST-00575,Land Rover Defender,expedition,Rocky_Mountain,lighting,KC HiLiTES,3,1132.58,3397.74,36-45,event,None
TXN-001638,2022-03-11,2022,3,Q1,CUST-00837,Ford Bronco,mid,Rocky_Mountain,suspension,Fox,1,1419.64,1419.64,46-55,in_store,None
TXN-002346,2022-03-11,2022,3,Q1,CUST-00116,Jeep Gladiator,mid,Southwest,water_systems,LifeStraw,3,308.42,925.26,26-35,dealer,None
TXN-000794,2022-03-11,2022,3,Q1,CUST-00784,RAM 2500,expedition,Rocky_Mountain,shelter,Tepui,1,3592.81,3592.81,36-45,in_store,None
TXN-002801,2022-03-12,2022,3,Q1,CUST-00989,Toyota Tacoma,mid,Texas_Mexico_Border,protection,Metalmil,2,914.14,1828.28,36-45,online,None
TXN-000224,2022-03-12,2022,3,Q1,CUST-00282,Jeep Wrangler,entry,Southeast,shelter,ARB,1,630.41,630.41,18-25,in_store,None
TXN-002254,2022-03-12,2022,3,Q1,CUST-00619,Toyota 4Runner,expedition,Texas_Mexico_Border,navigation,Magellan,2,969.12,1938.24,36-45,online,None
